Device_name,MAC_Address,Interface,Location,Check time
CNSUZ-SWP06,58b0.d483.2cc8,Gi2/0/6,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d483.2d00,Gi2/0/11,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d483.2d03,Gi2/0/23,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d483.2d06,Gi2/0/23,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d483.2d0a,Gi2/0/7,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d483.2d0c,Gi2/0/14,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d483.2d0e,Gi2/0/17,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d483.31b0,Gi2/0/14,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d483.31f2,Gi2/0/21,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d483.31f6,Gi2/0/14,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d483.3206,Gi2/0/23,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d483.3221,Gi2/0/17,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d486.fd74,Gi2/0/6,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d486.fd77,Gi2/0/11,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,6c8d.77ce.9f8f,Gi2/0/21,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,6c8d.77ce.b623,Gi2/0/6,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,6c8d.77ce.b657,Gi2/0/17,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,6c8d.77ce.b796,Gi2/0/23,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,6c8d.77ce.ba53,Gi2/0/11,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e836.5a72,Gi2/0/21,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e857.9f65,Gi2/0/7,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e857.e5b4,Gi2/0/23,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e858.bfbf,Gi2/0/11,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e86f.c044,Gi2/0/14,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,7c31.0eda.b520,Gi2/0/14,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,b07b.2510.9b89,Gi2/0/17,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,d046.0c83.2c44,Gi2/0/21,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,d046.0c83.2c6f,Gi2/0/14,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,d046.0c83.2cd9,Gi2/0/21,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,d046.0c83.2eaa,Gi2/0/17,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,d046.0c86.d7ac,Gi2/0/11,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,d046.0c8f.2575,Gi2/0/23,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,f430.b925.1183,Gi1/0/6,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,0c23.6978.9a8b,Gi1/0/29,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,0c23.6978.c311,Gi1/0/26,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,0c23.6978.c315,Gi1/0/26,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,4c5f.70dc.c03f,Gi1/0/26,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,bc09.1bfe.95ed,Gi1/0/30,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,e8c8.2913.cbe4,Gi1/0/26,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,f057.a600.ba9a,Gi1/0/25,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,6c24.088b.4e15,Gi1/0/23,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,0010.20e2.21ae,Gi1/0/26,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,0010.20e3.0cae,Gi1/0/25,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,0010.20e5.34f0,Gi1/0/25,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,0c23.6953.95fa,Gi1/0/30,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,48fd.a316.fd49,Gi1/0/29,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,48fd.a31b.213d,Gi1/0/26,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,48fd.a31b.27ec,Gi1/0/26,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,c4ef.da17.d23d,Gi1/0/26,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,c4ef.da18.e12f,Gi1/0/26,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,c4ef.da18.e187,Gi1/0/25,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,c4ef.da18.eb8f,Gi1/0/26,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,6c41.0eca.1eb8,Gi1/0/30,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,6c41.0eca.1f0c,Gi1/0/25,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,6c8b.d351.cf60,Gi1/0/28,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,707d.b9f3.1cc0,Gi1/0/26,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,7488.bbff.dd64,Gi1/0/29,Unknown,2025-09-16 13:58:32
